id,room_description,room_photo_url,room_price,room_type
32,"A cozy Bali Garden Suite with a woven rattan ceiling, traditional textile accents, and a lush private patio",https://res.cloudinary.com/bbtt-resort/image/upload/v1777301203/oohxko9nzruqxgalqkak.webp,650.00,Bali
33,"A serene Bali Garden Twin Suite featuring intricate wood carvings, a woven rattan ceiling, and a private terrace overlooking the pool",https://res.cloudinary.com/bbtt-resort/image/upload/v1777301281/ia1sv9d0hcpxit4lhnzj.webp,600.00,Bali
34,"A clever and modern Micro Studio Apartment featuring a space-saving Murphy bed and integrated storage unit",https://res.cloudinary.com/bbtt-resort/image/upload/v1777301491/otgd96mts6rnzbmts8mt.jpg,80.00,Studio
35,"An elegant Classic King Room with a majestic crystal chandelier and refined vintage furnishings",https://res.cloudinary.com/bbtt-resort/image/upload/v1777301601/vtl4rvdhz7wnkb5qknsz.jpg,150.00,Studio
36,"An opulent Royal Grand Suite featuring regal blue damask accents, a glittering gold chandelier, and classic French-inspired decor",https://res.cloudinary.com/bbtt-resort/image/upload/v1777301745/jqoozdkzwxuwnx2lqbkb.avif,850.00,Suit
37,"A bright and airy Contemporary Family Suite with a sprawling sectional sofa, chic monochrome accents, and abundant natural light",https://res.cloudinary.com/bbtt-resort/image/upload/v1777301893/jnu3avrnopehgslwji0j.jpg,320.00,Family
38,"A graceful Grand Premier Suite featuring a tufted oversized headboard, intricate patterned carpeting, and a delicate crystal chandelier",https://res.cloudinary.com/bbtt-resort/image/upload/v1777301999/llvavtihacxegtlstc8p.jpg,300.00,Suit
39,"A whimsical Disney-themed Standard Double featuring a carved castle headboard and festive firework-patterned carpeting",https://res.cloudinary.com/bbtt-resort/image/upload/v1777302126/f2vcfscnce6pozsxyjzb.webp,180.00,Standrad
40,"A sophisticated Executive Waterfront Twin featuring sleek wooden paneling and floor-to-ceiling windows with a stunning city-and-sea vista",https://res.cloudinary.com/bbtt-resort/image/upload/v1777302252/y2qgd74h1yzhhionbeey.avif,250.00,Executive
41,"A sleek Modern King Studio featuring a full-height tufted headboard, dark hardwood floors, and a bright urban view",https://res.cloudinary.com/bbtt-resort/image/upload/v1777302353/hhthbvldq5dcgk0ep4cq.jpg,160.00,King
42,"A chic Boutique Queen Room with warm ambient lighting, elegant velvet seating, and a romantic minimalist aesthetic",https://res.cloudinary.com/bbtt-resort/image/upload/v1777302461/l1ekdhiz7toywv1elhwi.jpg,400.00,Queen
43,"A contemporary Deluxe Pool Access Room featuring elegant wooden cabinetry and a private balcony with direct steps into the resort pool",https://res.cloudinary.com/bbtt-resort/image/upload/v1777302604/zrz89djghjcgcg5thsqj.jpg,200.00,Bali
